name,common_name,phytonutrients_count,has_details
"Allspice ground","Allspice",2,"Y"
"Almonds, Raw","Almonds",2,"Y"
"Anise seed","Anise",2,"Y"
"Apple, Fresh, With Skin","Apples",3,"Y"
"Apricot jam","Apricot Jam",2,"Y"
"Apricot, Fresh","Apricots",2,"Y"
"Avocado Oil","Avocado Oil",2,"Y"
"Baking Powder","Baking Powder",2,"Y"
"Baking Yeast, Active Dry","Baking Yeast",1,"Y"
"Balsamic vinegar","Vinegar",3,"Y"
"Banana, Fresh","Bananas",2,"Y"
"Basil dried","Basil",3,"Y"
"Bay leaf dried","Bay Leaves",2,"Y"
"Beef Liver","Beef Livers",4,"Y"
"Beets, Raw","Beetroots",2,"Y"
"Black peppercorns whole","Black Peppercorns",2,"Y"
"Black peppercorns whole, ground","Black Peppercorns (ground)",2,"Y"
"Blackberries, Fresh","Blackberries",2,"Y"
"Blueberries, Fresh","Blueberries",2,"Y"
"Brazil Nuts, Unsalted","Brazil Nuts",2,"Y"
"Broccoli, Cooked From Fresh","Broccoli (Cooked)",3,"Y"
"Brown sugar","Brown Sugar",2,"Y"
"Butternut Squash","Butternuts",2,"Y"
"Cabbage, Green, Cooked","Cabbage (Cooked)",3,"Y"
"Cabbage, Green, Raw","Cabbage",3,"Y"
"Canola Oil","Canola Oil",1,"Y"
"Cardamom","Ground Cardomom (Elachi)",2,"Y"
"Carrots, Raw","Carrots",3,"Y"
"Cashews, Raw","Cashews",2,"Y"
"Cauliflower, Cooked from Fresh","Cauliflower (Cooked)",2,"Y"
"Chia Seeds","Chia Seeds",3,"Y"
"Chicken Breast, Skin Removed Before Cooking","Chicken Breasts",1,"Y"
"Chicken Liver","Chicken Livers",4,"Y"
"Chili powder","Chili Powder",2,"Y"
"Chinese Cabbage, Pak-Choi, Cooked","Chinese Cabbage (Cooked)",3,"Y"
"Chinese Cabbage, Pak-Choi, Raw","Chinese Cabbage",2,"Y"
"Cinnamon ground","Gound Cinnamon",3,"Y"
"Cloves ground","Ground Cloves ",2,"Y"
"Coriander (cilantro) leaves, raw","Fresh Coriander Leaves (Dhania)",2,"Y"
"Coriander seed","Coriander Seeds",2,"Y"
"Coriander, Seed","Coriander Seeds",2,"Y"
"Cornmeal Mush, Plain","Maize Meal (Cooked)",2,"Y"
"Cornmeal, White, Whole Grain, Dry","Maize Meal",3,"Y"
"Cucumber, Raw, With Peel","Cucumbers",2,"Y"
"Cumin seed","Cumin",2,"Y"
"Cumin, Ground","Ground Cumin",2,"Y"
"Cumin, Seed","Cumin, Seed",2,"Y"
"Curry powder","Curry Powder",3,"Y"
"Extra Virgin Olive Oil","Extra Virgin Olive Oil",2,"Y"
"Fennel Seed","Fennel Seeds",2,"Y"
"Filberts, Raw","Hazelnuts",2,"Y"
"Flax Seeds, Not Fortified","Flax Seeds",2,"Y"
"Garlic powder","Garlic Powder",2,"Y"
"Grapes, Fresh","Grapes",3,"Y"
"Green Bell Peppers, Raw","Green Bell Peppers",2,"Y"
"Green Peas, Cooked from Frozen","Peas (Cooked)",2,"Y"
"Ground ginger","Ginger Powder",2,"Y"
"Honey","Honey",2,"Y"
"Hot cocoa mix powder","Cocoa",3,"Y"
"Kale, Cooked from Fresh","Kale (Cooked)",2,"Y"
"Kale, Raw","Kale",2,"Y"
"Lamb Kidney","Lamb Kidneys",4,"Y"
"Lemon juice bottled","Lemon Juice",2,"Y"
"Lemon, Fresh","Lemons",2,"Y"
"Lentil Sprouts, Raw","Lentil Sprouts",2,"Y"
"Lentils, Pink or Red, Raw","Dahl",2,"Y"
"Lettuce, Iceberg","Lettuce",2,"Y"
"Macadamia Nuts, Raw","Macadamia Nuts",2,"Y"
"Mace","Ground Mace",2,"Y"
"Mandarin Orange, Fresh","Naartjies",2,"Y"
"Margarine (Homemade)","Margarine (Homemade)",1,"Y"
"Mayonnaise regular, salted","Mayonnaise",2,"Y"
"Moringa, 100% Organic Leaf Powder","Moringa Powder",3,"Y"
"Nutmeg","Ground Nutmeg",2,"Y"
"Nutmeg ground","Ground Nutmeg",2,"Y"
"nuts and seeds, coconut, cream (liquid from grated meat)","Coconut Cream",1,"Y"
"Olive Oil","Olive Oil",2,"Y"
"Onion powder","Onion Powder",2,"Y"
"Onion, White, Yellow or Red, Raw","Onions",2,"Y"
"Orange, Fresh","Oranges",2,"Y"
"Papaya, Fresh","Papaya",3,"Y"
"Paprika","Paprika",3,"Y"
"Parboiled Rice, Converted, Cooked in Salted Water","White Rice (Cooked)",3,"Y"
"Parsley, Dried","Parsley",2,"Y"
"Parsley, Fresh","Parsley",2,"Y"
"Peach, Fresh","Peaches",2,"Y"
"Peanut Butter, Regular, Salted","Peanut Butter",2,"Y"
"Pear, Fresh","Pears",2,"Y"
"Pecans, Raw","Pecans",2,"Y"
"Plum, Fresh","Plums",2,"Y"
"PNP No Name Baked Beans","Baked Beans",3,"Y"
"Potato, Boiled with Skin","Potatoes",2,"Y"
"Pumpkin, Cooked from Fresh","Pumpkin (Cooked)",3,"Y"
"Quinoa, Dry","Quinoa",3,"Y"
"Raspberries, Fresh, Red","Raspberries",3,"Y"
"Raw Egg","Eggs",4,"Y"
"Rosemary dried","Rosemary",2,"Y"
"Salt, table, iodized","Salt (Iodized)",2,"Y"
"Sesame Seeds, Unhulled, Dried","Sesame Seeds",2,"Y"
"South African Pilchard","Pilchards",4,"Y"
"Soybean Oil, Unhydrogenated","Soybean Oil",2,"Y"
"Spearmint dried","Mint",2,"Y"
"Spinach, Cooked from Fresh","Spinach (Cooked)",2,"Y"
"Spinach, Raw","Spinach",2,"Y"
"Split Peas, Yellow or Green, Cooked From Dried","Split Peas",2,"Y"
"Strawberries, Fresh","Strawberries",3,"Y"
"Sunflower Oil","Sunflower Oil",2,"Y"
"Sunflower Seeds, Raw","Sunflower Seeds",2,"Y"
"Sweet Potato, Raw","Sweet Potatoes",2,"Y"
"Thyme dried","Thyme",3,"Y"
"Tomato paste canned, salted","Tomato Paste",1,"Y"
"Tomato Raw, Includes Cherry, Grape, Roma","Tomatoes",1,"Y"
"Tomato sauce unsalted","Tomato Sauce (Unsalted)",1,"Y"
"Turmeric, Ground","Ground Turmeric",2,"Y"
"Vanilla extract","Vanilla Essence",1,"Y"
"vegetables, squash, zucchini, cooked from fresh","Baby Marrow ",2,"Y"
"Walnuts","Walnuts",3,"Y"
"Watermelon, Fresh","Watermelon",2,"Y"
"White All-Purpose Flour, Unenriched","Cake Wheat Flour",2,"Y"
"White Bread, Store Bought","White Bread",3,"Y"
"Yellow Bell Pepper, Raw","Yellow Bell Peppers",2,"Y"
"Yellow mustard","Mustard",2,"Y"
